Index,X,Y,Z
0,-0.285126,-0.390427,-0.914841
1,-0.318359,-0.358765,-0.979706
2,-0.265274,-0.234802,-0.81366
3,-0.315155,-0.233994,-0.95903
4,-0.271423,-0.34462,-0.882187
5,-0.264648,-0.425171,-0.980347
6,-0.227905,-0.300095,-0.934113
7,-0.121353,-0.406998,-1.009811
8,-0.105103,-0.318359,-0.910904
9,-0.088455,-0.354492,-0.828995
10,-0.001007,-0.395508,-0.820023
11,0.013992,-0.352371,-0.902969
12,-0.024399,-0.409378,-0.964844
13,-0.050919,-0.417816,-0.972809
14,-0.102951,-0.494293,-0.966461
15,-0.105484,-0.306931,-0.877457
16,-0.125092,-0.384628,-1.053574
17,-0.245941,-0.251816,-0.86525
18,-0.243576,-0.321747,-0.854095
19,-0.182587,-0.342972,-0.920135
20,-0.247375,-0.381256,-1.018341
21,-0.21283,-0.33757,-0.958679
22,-0.201111,-0.387314,-0.90155
23,-0.231934,-0.286285,-0.663193
24,-0.166489,-0.4422,-1.191269
25,-0.204193,-0.253189,-0.659729
26,-0.092712,-0.41098,-1.269791
27,-0.20488,-0.348297,-0.710678
28,-0.104828,-0.340103,-1.157883
29,-0.182098,-0.367691,-0.983154
30,-0.174896,-0.390884,-0.819489
31,-0.005035,-0.734711,-1.042999
32,-0.058441,-0.498047,-0.723175
33,-0.166443,-0.44722,-1.041245
34,-0.10759,-0.47319,-0.863022
35,-0.125397,-0.605972,-0.844345
36,-0.073395,-0.563156,-0.878754
37,-0.13887,-0.462952,-0.93782
38,-0.237991,-0.514908,-0.855423
39,-0.24147,-0.505829,-0.772339
40,-0.146057,-0.414429,-0.932953
41,-0.140732,-0.434723,-0.928558
42,-0.11441,-0.412369,-0.883698
43,-0.052719,-0.459122,-0.875702
44,-0.027756,-0.398773,-0.903549
45,-0.025345,-0.372269,-0.895813
46,-0.007568,-0.422333,-0.884567
47,-0.077682,-0.39064,-0.915756
48,-0.169418,-0.395706,-1.007965
49,-0.261169,-0.351746,-0.941208
50,-0.274094,-0.34816,-0.942108
51,-0.179703,-0.332336,-0.951431
52,-0.133362,-0.338196,-0.911438
53,-0.117401,-0.380066,-1.002243
54,-0.161087,-0.326569,-0.826233
55,-0.096329,-0.361008,-1.036804
56,-0.107697,-0.487411,-0.988159
57,-0.09314,-0.343979,-0.963013
58,-0.105728,-0.354523,-0.906494
59,-0.105499,-0.419022,-0.893631
60,-0.087112,-0.39238,-0.96991
61,-0.062561,-0.377457,-0.908615
62,-0.099777,-0.42334,-0.913605
63,-0.103989,-0.433945,-0.902023
64,-0.093521,-0.403168,-0.905411
65,-0.118912,-0.434387,-0.890289
66,-0.081818,-0.423218,-0.91922
67,-0.075958,-0.376343,-0.924744
68,-0.07486,-0.385651,-0.918411
69,-0.094269,-0.412216,-0.934387
70,-0.082001,-0.376511,-0.956421
71,-0.059219,-0.417603,-0.903564
72,-0.000809,-0.43779,-0.949753
73,0.011414,-0.403732,-0.926086
74,-0.028168,-0.435638,-0.919785
75,-0.0047,-0.449844,-0.911163
76,0.063034,-0.46312,-0.86525
77,0.140991,-0.439011,-0.908478
78,0.264664,-0.459244,-0.797867
79,0.280029,-0.48111,-0.832977
80,0.257721,-0.461777,-0.828308
81,0.259323,-0.46077,-0.853409
82,0.18248,-0.482071,-0.851913
83,0.189713,-0.480759,-0.828705
84,0.258499,-0.47998,-0.853699
85,0.293335,-0.445862,-0.888306
86,0.289642,-0.397903,-0.809067
87,0.335251,-0.449432,-0.827606
88,0.307907,-0.39769,-0.951248
89,0.286438,-0.379089,-0.879089
90,0.290573,-0.420471,-0.770782
91,0.333862,-0.421112,-0.828491
92,0.323273,-0.420242,-0.88942
93,0.258942,-0.455872,-0.884064
94,0.308258,-0.445465,-0.858841
95,0.292053,-0.41713,-0.833954
96,0.289932,-0.372375,-0.832581
97,0.288635,-0.404434,-0.862518
98,0.295715,-0.430435,-0.895264
99,0.326355,-0.474747,-0.995087
100,0.301926,-0.441055,-0.886688
101,0.296753,-0.369171,-0.787354
102,0.327438,-0.365936,-0.808578
103,0.284164,-0.414795,-0.914139
104,0.366257,-0.443741,-0.921783
105,0.325134,-0.434219,-0.92186
106,0.321747,-0.396072,-0.790237
107,0.306641,-0.343933,-0.741791
108,0.319,-0.294357,-0.731583
109,0.562637,-0.54274,-0.922089
110,0.397903,-0.411758,-1.147629
111,0.300446,-0.527496,-0.96962
112,0.176544,-0.393478,-0.749924
113,0.233185,-0.343811,-0.851807
114,0.187363,-0.414795,-0.896515
115,0.14827,-0.472824,-0.843994
116,0.160446,-0.275055,-0.885941
117,0.160919,-0.299484,-0.60704
118,0.432159,-0.321152,-1.149368
119,0.227524,-0.399567,-0.733368
120,0.31691,-0.510086,-1.109741
121,0.161453,-0.434052,-0.95108
122,0.155472,-0.482697,-0.801727
123,0.11171,-0.359512,-0.797455
124,0.096054,-0.416779,-0.961472
125,0.067871,-0.473053,-0.862686
126,0.086349,-0.36853,-0.867355
127,0.151184,-0.34787,-0.85144
128,0.13559,-0.425186,-0.948639
129,0.033371,-0.392548,-0.837952
130,-0.006073,-0.496017,-0.940094
131,-0.094147,-0.496155,-0.964523
132,-0.13504,-0.483734,-0.900711
133,-0.116135,-0.365799,-0.777328
134,-0.152069,-0.31839,-0.91925
135,-0.174606,-0.509033,-0.886429
136,-0.205643,-0.39888,-0.862366
137,-0.117752,-0.412018,-0.948914
138,-0.111786,-0.384201,-0.854828
139,-0.114243,-0.372604,-0.832977
140,-0.102066,-0.425278,-0.81311
141,-0.103806,-0.503098,-0.927704
142,-0.126846,-0.500717,-0.924622
143,-0.102585,-0.477127,-0.923508
144,-0.065491,-0.464371,-0.898331
145,-0.077942,-0.460464,-0.810898
146,-0.071609,-0.469757,-0.795624
147,-0.050476,-0.464569,-0.838577
148,-0.046829,-0.539597,-0.965576
149,-0.07309,-0.553619,-0.91803
150,-0.026459,-0.559998,-0.995575
151,-0.02948,-0.454559,-0.910263
152,-0.075256,-0.566544,-0.888031
153,-0.13591,-0.479034,-0.9104
154,-0.16951,-0.51358,-0.929657
155,-0.283859,-0.535507,-0.939453
156,-0.185135,-0.404388,-0.854324
157,-0.175003,-0.450302,-0.824768
158,-0.221664,-0.427872,-0.907623
159,-0.282028,-0.424881,-0.853485
160,-0.219116,-0.466721,-0.869415
161,-0.234634,-0.398972,-0.897232
162,-0.235825,-0.307602,-0.849319
163,-0.194366,-0.37915,-0.796906
164,-0.14505,-0.34314,-0.743561
165,-0.093521,-0.418274,-1.024139
166,-0.12294,-0.513306,-0.866882
167,-0.184906,-0.454361,-1.008698
168,-0.148438,-0.389893,-0.932312
169,-0.104523,-0.453751,-0.905807
170,-0.137695,-0.356781,-0.964752
171,-0.10791,-0.404404,-0.94165
172,-0.122437,-0.445633,-0.96312
173,-0.141159,-0.424347,-0.970734
174,-0.147049,-0.38063,-0.892319
175,-0.181992,-0.40239,-0.862106
176,-0.162018,-0.35849,-0.851624
177,-0.172287,-0.368637,-0.844376
178,-0.199402,-0.448013,-0.915802
179,-0.220825,-0.356613,-0.828827
180,-0.165451,-0.370529,-0.881485
181,-0.172821,-0.405609,-0.821075
182,-0.194427,-0.364487,-0.883835
183,-0.168167,-0.448883,-0.922836
184,-0.142715,-0.330933,-0.845276
185,-0.172577,-0.365311,-0.930191
186,-0.238968,-0.376434,-0.887192
187,-0.273315,-0.389709,-1.06842
188,-0.432495,-0.274506,-0.710968
189,-0.517258,-0.27388,-0.88649
190,-0.445236,-0.391754,-0.852112
191,-0.389236,-0.242722,-0.945557
192,-0.406189,-0.306,-0.853836
193,-0.370514,-0.353165,-0.822952
194,-0.362045,-0.383942,-0.911041
195,-0.340546,-0.31076,-0.848465
196,-0.282806,-0.277359,-0.832855
197,-0.306946,-0.269379,-0.862823
198,-0.269958,-0.290298,-0.8246
199,-0.275269,-0.314621,-0.887802
200,-0.253235,-0.302734,-0.959335
201,-0.309647,-0.464005,-1.146072
202,-0.296555,-0.304916,-0.928177
203,-0.268982,-0.325943,-0.913269
204,-0.286865,-0.350098,-0.798248
205,-0.295944,-0.283218,-0.908707
206,-0.240417,-0.291855,-0.859055
207,-0.23494,-0.41597,-1.02948
208,-0.269165,-0.245819,-0.828094
209,-0.225937,-0.347351,-1.038055
210,-0.310974,-0.225189,-0.831818
211,-0.175415,-0.230072,-0.984772
212,-0.282211,-0.296127,-0.85257
213,-0.201416,-0.30954,-0.891632
214,-0.126144,-0.397247,-0.894669
215,-0.099777,-0.439209,-0.92691
216,-0.104568,-0.441528,-0.938431
217,-0.080902,-0.417282,-0.891663
218,-0.072678,-0.410339,-0.85907
219,-0.061813,-0.462387,-0.952377
220,-0.078308,-0.391891,-0.893036
