ID,x,y,z,PCI
0,"-0.28512600000000005,-0.318359,-0.26527399999999995,-0.315155,-0.271423,-0.264648,-0.22790500000000002,-0.121353,-0.105103,-0.08845499999999999,-0.001007,0.013992,-0.024399,-0.050919,-0.102951,-0.105484,-0.125092,-0.245941,-0.24357600000000001,-0.182587,-0.247375,-0.21283000000000002,-0.20111099999999998,-0.231934,-0.166489,-0.204193,-0.092712,-0.20488,-0.10482799999999999,-0.182098,-0.174896,-0.005035,-0.058441,-0.166443,-0.10759,-0.125397,-0.073395,-0.13887,-0.23799099999999998,-0.24147","-0.390427,-0.358765,-0.234802,-0.233994,-0.34462,-0.425171,-0.300095,-0.406998,-0.318359,-0.35449200000000003,-0.39550799999999997,-0.352371,-0.409378,-0.41781599999999997,-0.49429300000000004,-0.306931,-0.384628,-0.251816,-0.321747,-0.342972,-0.381256,-0.33757,-0.387314,-0.286285,-0.4422,-0.253189,-0.41098,-0.34829699999999997,-0.34010300000000004,-0.367691,-0.390884,-0.734711,-0.498047,-0.44722,-0.47318999999999994,-0.6059720000000001,-0.563156,-0.46295200000000003,-0.514908,-0.505829","-0.914841,-0.979706,-0.81366,-0.9590299999999999,-0.882187,-0.980347,-0.934113,-1.009811,-0.910904,-0.828995,-0.820023,-0.902969,-0.964844,-0.972809,-0.966461,-0.8774569999999999,-1.053574,-0.86525,-0.854095,-0.920135,-1.018341,-0.9586790000000001,-0.90155,-0.663193,-1.1912690000000001,-0.659729,-1.269791,-0.7106779999999999,-1.157883,-0.9831540000000001,-0.8194889999999999,-1.042999,-0.723175,-1.041245,-0.863022,-0.8443450000000001,-0.878754,-0.9378200000000001,-0.8554229999999999,-0.772339",50
1,"-0.146057,-0.140732,-0.11441,-0.05271900000000001,-0.027756,-0.025345,-0.007568000000000001,-0.077682,-0.169418,-0.261169,-0.274094,-0.179703,-0.13336199999999998,-0.117401,-0.16108699999999998,-0.096329,-0.107697,-0.09314,-0.105728,-0.105499,-0.087112,-0.062561,-0.099777,-0.10398900000000001,-0.093521,-0.11891199999999999,-0.081818,-0.075958,-0.07486,-0.094269,-0.082001,-0.05921900000000001,-0.0008089999999999999,0.011414,-0.028168000000000002,-0.0047,0.063034,0.140991,0.264664,0.280029","-0.414429,-0.43472299999999997,-0.412369,-0.45912200000000003,-0.398773,-0.372269,-0.422333,-0.39064,-0.395706,-0.351746,-0.34815999999999997,-0.332336,-0.338196,-0.38006599999999996,-0.326569,-0.361008,-0.487411,-0.343979,-0.354523,-0.419022,-0.39238,-0.37745700000000004,-0.42333999999999994,-0.43394499999999997,-0.40316799999999997,-0.43438699999999997,-0.42321800000000004,-0.376343,-0.385651,-0.41221599999999997,-0.37651100000000004,-0.417603,-0.43778999999999996,-0.40373200000000004,-0.435638,-0.44984399999999997,-0.46312,-0.439011,-0.459244,-0.48111000000000004","-0.932953,-0.928558,-0.883698,-0.8757020000000001,-0.9035489999999999,-0.895813,-0.884567,-0.9157559999999999,-1.007965,-0.941208,-0.942108,-0.9514309999999999,-0.911438,-1.002243,-0.826233,-1.036804,-0.988159,-0.9630129999999999,-0.906494,-0.893631,-0.96991,-0.908615,-0.9136049999999999,-0.9020229999999999,-0.9054110000000001,-0.890289,-0.91922,-0.924744,-0.9184110000000001,-0.9343870000000001,-0.956421,-0.9035639999999999,-0.9497530000000001,-0.9260860000000001,-0.9197850000000001,-0.911163,-0.86525,-0.9084780000000001,-0.797867,-0.8329770000000001",60
2,"0.257721,0.259323,0.18248,0.18971300000000002,0.258499,0.293335,0.289642,0.335251,0.30790700000000004,0.286438,0.290573,0.333862,0.323273,0.258942,0.308258,0.292053,0.289932,0.288635,0.295715,0.326355,0.301926,0.29675300000000004,0.327438,0.28416399999999997,0.366257,0.32513400000000003,0.321747,0.306641,0.319,0.5626369999999999,0.397903,0.300446,0.176544,0.233185,0.187363,0.14827,0.160446,0.160919,0.432159,0.22752399999999998","-0.46177700000000005,-0.46076999999999996,-0.482071,-0.480759,-0.47998,-0.445862,-0.397903,-0.449432,-0.39769,-0.379089,-0.420471,-0.421112,-0.420242,-0.455872,-0.44546499999999994,-0.41713,-0.372375,-0.404434,-0.430435,-0.47474700000000003,-0.44105500000000003,-0.369171,-0.36593600000000004,-0.41479499999999997,-0.443741,-0.43421899999999997,-0.396072,-0.343933,-0.29435700000000004,-0.54274,-0.411758,-0.527496,-0.393478,-0.34381100000000003,-0.41479499999999997,-0.47282399999999997,-0.275055,-0.29948400000000003,-0.321152,-0.399567","-0.828308,-0.853409,-0.8519129999999999,-0.8287049999999999,-0.853699,-0.8883059999999999,-0.809067,-0.827606,-0.951248,-0.8790889999999999,-0.770782,-0.828491,-0.8894200000000001,-0.884064,-0.858841,-0.8339540000000001,-0.8325809999999999,-0.862518,-0.895264,-0.995087,-0.8866879999999999,-0.787354,-0.808578,-0.9141389999999999,-0.921783,-0.92186,-0.790237,-0.741791,-0.731583,-0.9220889999999999,-1.147629,-0.96962,-0.7499239999999999,-0.851807,-0.896515,-0.843994,-0.885941,-0.6070399999999999,-1.149368,-0.733368",50
3,"0.31690999999999997,0.16145299999999999,0.155472,0.11170999999999999,0.096054,0.067871,0.086349,0.15118399999999999,0.13559000000000002,0.033371,-0.006072999999999999,-0.09414700000000001,-0.13504000000000002,-0.11613499999999999,-0.152069,-0.17460599999999998,-0.205643,-0.117752,-0.111786,-0.11424300000000001,-0.10206599999999999,-0.103806,-0.12684600000000001,-0.102585,-0.065491,-0.077942,-0.071609,-0.050476,-0.046829,-0.07309,-0.026458999999999996,-0.029480000000000003,-0.07525599999999999,-0.13591,-0.16951,-0.28385900000000003,-0.185135,-0.175003,-0.221664,-0.282028","-0.5100859999999999,-0.43405200000000005,-0.48269700000000004,-0.359512,-0.416779,-0.473053,-0.36853,-0.34786999999999996,-0.42518599999999995,-0.392548,-0.496017,-0.496155,-0.483734,-0.365799,-0.31839,-0.509033,-0.39888,-0.41201800000000005,-0.384201,-0.372604,-0.425278,-0.5030979999999999,-0.500717,-0.477127,-0.464371,-0.46046400000000004,-0.469757,-0.46456899999999995,-0.539597,-0.553619,-0.559998,-0.454559,-0.5665439999999999,-0.479034,-0.51358,-0.535507,-0.404388,-0.45030200000000004,-0.42787200000000003,-0.42488100000000006","-1.109741,-0.9510799999999999,-0.8017270000000001,-0.797455,-0.9614719999999999,-0.8626860000000001,-0.8673549999999999,-0.85144,-0.9486389999999999,-0.837952,-0.9400940000000001,-0.9645229999999999,-0.900711,-0.777328,-0.91925,-0.8864290000000001,-0.862366,-0.9489139999999999,-0.854828,-0.8329770000000001,-0.81311,-0.9277040000000001,-0.9246219999999999,-0.923508,-0.898331,-0.810898,-0.795624,-0.838577,-0.965576,-0.9180299999999999,-0.995575,-0.9102629999999999,-0.8880309999999999,-0.9104,-0.929657,-0.9394530000000001,-0.854324,-0.8247680000000001,-0.907623,-0.853485",50
4,"-0.21911599999999998,-0.234634,-0.235825,-0.194366,-0.14505,-0.093521,-0.12294000000000001,-0.184906,-0.14843800000000001,-0.104523,-0.137695,-0.10790999999999999,-0.12243699999999999,-0.14115899999999998,-0.147049,-0.18199200000000001,-0.162018,-0.172287,-0.199402,-0.220825,-0.165451,-0.172821,-0.194427,-0.168167,-0.142715,-0.172577,-0.23896799999999999,-0.27331500000000003,-0.43249499999999996,-0.517258,-0.44523599999999997,-0.389236,-0.40618899999999997,-0.370514,-0.362045,-0.340546,-0.282806,-0.306946,-0.269958,-0.275269","-0.466721,-0.398972,-0.307602,-0.37915,-0.34314,-0.418274,-0.513306,-0.45436099999999996,-0.389893,-0.453751,-0.356781,-0.404404,-0.445633,-0.42434700000000003,-0.38063,-0.40239,-0.35849000000000003,-0.368637,-0.448013,-0.356613,-0.370529,-0.405609,-0.364487,-0.448883,-0.330933,-0.365311,-0.376434,-0.389709,-0.274506,-0.27388,-0.391754,-0.242722,-0.306,-0.353165,-0.383942,-0.31076,-0.277359,-0.269379,-0.290298,-0.314621","-0.8694149999999999,-0.8972319999999999,-0.849319,-0.796906,-0.7435609999999999,-1.024139,-0.8668819999999999,-1.0086979999999999,-0.932312,-0.9058069999999999,-0.964752,-0.94165,-0.9631200000000001,-0.970734,-0.8923190000000001,-0.8621059999999999,-0.8516239999999999,-0.844376,-0.915802,-0.8288270000000001,-0.8814850000000001,-0.821075,-0.883835,-0.9228360000000001,-0.845276,-0.930191,-0.887192,-1.0684200000000001,-0.710968,-0.88649,-0.8521120000000001,-0.945557,-0.853836,-0.822952,-0.911041,-0.8484649999999999,-0.8328549999999999,-0.862823,-0.8246,-0.8878020000000001",60
5,"-0.253235,-0.309647,-0.296555,-0.268982,-0.28686500000000004,-0.295944,-0.24041700000000002,-0.23494,-0.269165,-0.225937,-0.310974,-0.17541500000000002,-0.282211,-0.201416,-0.126144,-0.099777,-0.10456800000000001,-0.080902,-0.07267799999999999,-0.061813,-0.078308,-0.030777,-0.069275,-0.075134,-0.11592100000000001,-0.110275,-0.043457,-0.062241,-0.023712,-0.038238999999999995,-0.018539,0.003159,-0.026320999999999997,-0.0075379999999999996,-0.018768,-0.0012050000000000001,0.013000000000000001,-0.021942,-0.058319,-0.062134","-0.302734,-0.464005,-0.30491599999999996,-0.325943,-0.350098,-0.28321799999999997,-0.29185500000000003,-0.41597,-0.245819,-0.347351,-0.225189,-0.23007199999999997,-0.296127,-0.30954,-0.39724699999999996,-0.439209,-0.441528,-0.417282,-0.410339,-0.462387,-0.391891,-0.410034,-0.41340600000000005,-0.401459,-0.343719,-0.40863,-0.471268,-0.422729,-0.426483,-0.40593,-0.41522200000000004,-0.420563,-0.368149,-0.415009,-0.43582200000000004,-0.393875,-0.42726099999999995,-0.368134,-0.384872,-0.385101","-0.959335,-1.146072,-0.928177,-0.913269,-0.798248,-0.9087069999999999,-0.8590549999999999,-1.02948,-0.828094,-1.038055,-0.8318180000000001,-0.984772,-0.85257,-0.891632,-0.894669,-0.92691,-0.9384309999999999,-0.8916629999999999,-0.8590700000000001,-0.952377,-0.893036,-0.9014280000000001,-0.850983,-0.886841,-0.8926850000000001,-0.855194,-0.922897,-0.9229430000000001,-0.975601,-0.873489,-0.8791200000000001,-0.895767,-0.9147639999999999,-0.964935,-0.924057,-0.911682,-0.9095610000000001,-0.946442,-0.900558,-0.9306180000000001",70
6,"-0.091309,-0.104752,-0.11441,-0.15318299999999999,-0.150757,-0.12698399999999999,-0.158401,-0.103745,-0.093796,-0.101105,-0.203125,-0.225647,-0.38108800000000004,-0.29631,-0.239258,-0.229523,-0.162643,-0.055938999999999996,-0.06686399999999999,-0.027451,-0.034729,-0.053252999999999995,-0.07103,-0.081345,-0.07785,-0.117493,-0.139816,-0.102264,-0.022338999999999998,0.043442,0.026320999999999997,-0.06572,-0.095047,-0.133469,-0.10539200000000001,-0.07713300000000001,-0.051895000000000004,-0.025436,-0.04863,0.0015869999999999999","-0.390884,-0.39296,-0.399368,-0.378769,-0.343475,-0.355698,-0.338318,-0.33366399999999996,-0.30954,-0.319656,-0.281158,-0.304871,-0.306793,-0.28367600000000004,-0.233566,-0.249969,-0.310715,-0.298431,-0.26811199999999996,-0.332962,-0.297791,-0.224075,-0.284393,-0.26763899999999996,-0.268997,-0.303833,-0.32164,-0.291489,-0.275925,-0.331757,-0.264511,-0.252335,-0.245117,-0.291916,-0.243652,-0.28299,-0.275955,-0.274597,-0.228516,-0.246719","-0.9290309999999999,-0.91069,-0.860489,-0.93866,-0.9566959999999999,-0.955292,-0.89476,-0.903214,-0.9358219999999999,-0.906235,-0.9284209999999999,-0.9893649999999999,-0.91507,-0.9395450000000001,-0.9640350000000001,-0.959641,-0.9284969999999999,-0.9617,-0.974045,-0.943939,-0.925552,-0.9525600000000001,-0.960205,-0.979233,-1.010651,-0.930527,-0.9253540000000001,-0.95488,-0.944473,-0.977295,-0.9758450000000001,-0.931564,-0.972794,-0.9161219999999999,-0.979706,-0.923126,-0.967667,-0.96019,-0.986771,-0.9815219999999999",60
7,"0.040298,-0.09753400000000001,0.014648,0.117493,0.050018,0.00351,0.013503999999999999,0.048447000000000004,0.015747,0.042816,0.025131,0.010986,-0.014053,-0.002945,-0.04512,-0.070877,-0.112946,-0.149292,-0.123367,-0.0060880000000000005,-0.060028,-0.105637,-0.095703,-0.073517,-0.091507,-0.108429,-0.078979,-0.058151,-0.074081,-0.07077,-0.09697,-0.08819600000000001,-0.078796,-0.08540299999999999,-0.07925399999999999,-0.094849,-0.09019500000000001,-0.12141400000000001,-0.12197899999999999,-0.083038","-0.272202,-0.269516,-0.16989100000000001,-0.213608,-0.255844,-0.216583,-0.174271,-0.23492399999999997,-0.237488,-0.24379,-0.249664,-0.263397,-0.241272,-0.293091,-0.262665,-0.22636399999999998,-0.220322,-0.215164,-0.22636399999999998,-0.31926,-0.24585,-0.284088,-0.267334,-0.292236,-0.28424099999999997,-0.25242600000000004,-0.280975,-0.283844,-0.294632,-0.23936500000000002,-0.267365,-0.273636,-0.266998,-0.275543,-0.277451,-0.28416399999999997,-0.292892,-0.275482,-0.321869,-0.31567399999999995","-0.996857,-0.9659120000000001,-0.973999,-1.007782,-0.934998,-0.99115,-1.032959,-0.9950559999999999,-0.934616,-0.9714360000000001,-0.965134,-0.968277,-0.951965,-0.968857,-0.957565,-0.973801,-0.9522860000000001,-0.9596709999999999,-0.9539639999999999,-0.9646450000000001,-0.944366,-0.9516450000000001,-0.966766,-1.000122,-0.9694209999999999,-0.909515,-0.932449,-1.0011290000000002,-0.9447479999999999,-0.985245,-0.9527129999999999,-0.9473879999999999,-0.9691620000000001,-0.9516450000000001,-0.9748690000000001,-0.9539030000000001,-0.968109,-0.9933930000000001,-0.926956,-0.9345399999999999",80
8,"-0.08618200000000001,-0.087662,-0.106903,-0.105255,-0.11366300000000001,-0.043045,-0.090073,-0.080872,-0.083878,-0.082199,-0.058227999999999995,-0.060226,-0.068222,-0.046082,-0.029037,-0.084152,-0.122375,-0.07656900000000001,-0.057555999999999996,-0.054932,0.028397000000000002,0.059753,0.080124,0.120621,0.179001,0.10955799999999999,0.13443,0.210617,0.123215,0.11456300000000001,0.14561500000000002,0.10876500000000001,0.122208,0.092682,0.066238,-0.000381,-0.100143,-0.024841,0.04158,0.067764","-0.273468,-0.26245100000000005,-0.318024,-0.27681,-0.268967,-0.370773,-0.319992,-0.32418800000000003,-0.328705,-0.326279,-0.337158,-0.35121199999999997,-0.353561,-0.330276,-0.41458100000000003,-0.342926,-0.46641499999999997,-0.371674,-0.39903299999999997,-0.269455,-0.301056,-0.332642,-0.490799,-0.45196499999999995,-0.531357,-0.590134,-0.52832,-0.613342,-0.459793,-0.527359,-0.493134,-0.435242,-0.49353,-0.456711,-0.46823100000000006,-0.468689,-0.369003,-0.43191499999999994,-0.45446800000000004,-0.45047","-0.944305,-0.965042,-0.9210209999999999,-0.961807,-0.960541,-0.922638,-0.9120790000000001,-0.9749450000000001,-0.927322,-0.898285,-0.904984,-0.8944700000000001,-0.9142,-0.8060609999999999,-1.034119,-1.0749360000000001,-1.0377040000000002,-0.813171,-0.887375,-0.856735,-1.0134889999999999,-0.907806,-0.811569,-0.813705,-0.9108120000000001,-0.939865,-0.8570559999999999,-0.67485,-0.921783,-0.832916,-0.902115,-0.961075,-0.9252469999999999,-0.909409,-0.8905790000000001,-0.846878,-0.851822,-0.929108,-0.846664,-0.95845",40
9,"0.052948,0.08371,0.100464,0.034439,0.041687,0.103317,0.113419,0.11096199999999999,0.119247,0.101425,0.149704,0.139069,0.18229700000000001,0.230606,0.14819300000000002,0.113266,0.238373,0.199219,0.19043,0.212234,0.20861799999999997,0.207367,0.202789,0.226929,0.21072399999999997,0.157486,0.168167,0.16334500000000002,0.164047,0.16508499999999998,0.184555,0.169205,0.22973600000000002,0.21318099999999998,0.21839899999999998,0.231323,0.192734,0.1819,0.167664,0.175995","-0.416901,-0.49762,-0.46048,-0.5348510000000001,-0.497849,-0.448959,-0.350555,-0.363159,-0.44841000000000003,-0.43771400000000005,-0.403015,-0.406494,-0.429733,-0.416382,-0.407242,-0.350006,-0.40731799999999996,-0.385895,-0.332779,-0.345398,-0.350876,-0.33348099999999997,-0.305527,-0.311157,-0.32000700000000004,-0.287109,-0.283356,-0.260956,-0.242096,-0.222244,-0.238907,-0.23211700000000002,-0.255814,-0.264038,-0.265549,-0.295715,-0.289093,-0.241364,-0.212204,-0.22093200000000002","-0.8831629999999999,-0.898727,-0.912216,-1.0215,-0.9110870000000001,-0.823868,-0.843231,-0.93071,-0.91748,-1.02565,-0.935974,-0.828156,-0.882767,-0.875336,-0.913574,-0.928848,-0.941483,-0.871506,-0.882217,-0.9189,-0.9333799999999999,-0.972366,-0.966492,-0.999817,-0.972244,-0.900558,-0.852295,-0.9225770000000001,-0.8808590000000001,-0.9025270000000001,-0.898575,-0.93309,-0.993149,-0.9862209999999999,-0.9365540000000001,-0.947449,-0.930542,-0.962418,-0.9024200000000001,-0.998749",50
